bs,iototal,qdepth,bw_mbs,lat_s,bluestore_kv_sync_lat,bluestore_kvq_lat,kv_sync_p99_lat,kv_sync_p95_lat,kv_sync_median_lat,kv_sync_min_lat,kvq_p99_lat,kvq_p95_lat,kvq_median_lat,kvq_min_lat
4096,40960000,48,52.62695312500000000000,.00356151863031200000,0.000611835,0.001173353
8192,81920000,48,94.18554687500000000000,.00398019938965900000,0.000698511,0.001474921
16384,163840000,48,142.66210937500000000000,.00525571970699700000,0.000847164,0.00218003
32768,327680000,48,214.29589843750000000000,.00699793962308000000,0.000999992,0.003175116
65536,655360000,48,267.59863281250000000000,.01120828650880800000,0.001215385,0.004469341
131072,1310720000,48,291.34375000000000000000,.02058887650338200000,0.001546054,0.00629635
262144,2621440000,48,331.81933593750000000000,.03615416186154400000,0.001830803,0.005911893
524288,5242880000,48,332.04101562500000000000,.07224809108338800000,0.002259328,0.004818799
1048576,10485760000,48,383.29882812500000000000,.12513688961161200000,0.003128298,0.006066488
2097152,20971520000,48,375.69433593750000000000,.25518685493076100000,0.004933975,0.009816374
4194304,41943040000,48,415.51757812500000000000,.46092780145718800000,0.007726428,0.019083257
